ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,INDIRIZZO,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale,geo_x,geo_y
13820,BS,17165,RONCADELLE,RONCADELLE SHOPPING CENTRE S.R.L.,Via L. Einaudi N. 1,,3240,59976,63216,45.5331009088,10.1648542046
8812,MI,15195,SAN GIULIANO MILANESE,CARREFOUR,S.S. Emilia,,4066,4203,8269,45.3778549642,9.3070017631
6018,MB,108010,BOVISIO-MASCIAGO,E.G. CAVALLINI DI M.GRAZIA CAVALLINI E C. SAS,"Via Nazionale Dei Giovi, 27",C,0,3000,3000,45.6004890524,9.1448789843
9484,VA,12075,GERENZANO,SANTINO SPA,"Via Cervinia ,1",A,0,7497,7497,45.6341025633,9.0155843537
12021,CO,13242,VERTEMATE CON MINOPRIO,IL GIGANTE S.P.A.,"S.S. Dei Giovi, 9",,4268,500,4768,45.7158393311,9.0764203387
12554,MI,15011,ASSAGO,CVG MODA SRL,Via Della Fonte Lunga 7 - Ed. D,A,0,2000,2000,45.4013544832,9.1486550954
984,BG,16150,ORIO AL SERIO,FINSER S.P.A.,Via Portico 71,,13688,35616,49304,45.6642223188,9.6949268121
6772,BG,16037,BREMBATE,IPER MONTEBELLO SPA,"Via V. Veneto,68-S.P. 184",,4350,5124,9474,45.6070972004,9.5455451253
400,MI,15086,CORMANO,COOP LOMBARDIA SCRL,Via Gramsci Angolo Statale Dei Giovi,,2000,3060,5060,45.538966143,9.1606347343
2501,BG,16089,CURNO,LEROY MERLIN ITALIA SRL,"Via Rota, 60",D,0,10099,10099,45.6806753931,9.6050664424
2339,MI,15205,SEGRATE,ESSELUNGA S.P.A.,Via Olgia Ang. Via Cassanese Loc. Cascina Degli Ovi,,1200,1790,2990,45.4918682414,9.2698259595
8208,MI,15146,MILANO,PALLONI ANTONIO,"Viale Monza, 267",,1600,1200,2800,45.5120849115,9.2240824044
4615,BS,17126,ORZIVECCHI,GESTIONE CENTRI COMMERCIALI SRL,"Viale G. Tovini, 1",,2500,2880,5380,45.4232410231,9.9696966604
9486,BS,17029,BRESCIA,FRECCIA ROSSA SHOPPING CENTRE SRL,Viale Italia 31,,1850,13122,14972,45.5355031608,10.2082998545
178,MI,15077,CINISELLO BALSAMO,BRICO CENTER ITALIA SRL,"V.Le Brianza, 2",D,0,6180,6180,45.5504723523,9.2391327224
3227,MI,15093,CORSICO,ESSELUNGA SPA,"V.Le Delle Industrie, 4/2",,1490,4537,6027,45.4322399198,9.0814680101
6202,BG,16143,MOZZO,GRAN MERCATO DEI COLLI,"Via Dell'Industria, 2",,2504,2080,4584,45.7073793374,9.605443576
6093,VA,12133,VARESE,INIZIATIVE COMMERCIALI LOMBARDE,"P.Zza Repubblica,25",,3235,7550,10785,45.8155855004,8.8281519911
669,MI,15077,CINISELLO BALSAMO,BERTONI CAMPEGGIO SPORT,"Viale F. Testi, 140",D,0,4165,4165,45.543546188,9.2229047653
2395,MB,108024,GIUSSANO,ESSELUNGA SPA,Via Lario Ang. Via Pola,,1497,2435,3932,45.6771286525,9.2072509374
3080,MN,20071,BORGO VIRGILIO,COOP CONSUMATORI NORDEST SCARL,Piazza Commercio 1,,2827,9376,12203,45.1115507728,10.7833057586
1606,PV,18033,CASEI GEROLA,MAXI DI SRL,Via Per Voghera 9,,3500,7240,10740,45.0365469673,8.9058189746
4350,BS,17069,ERBUSCO,POLICENTROITALIA 97,"V.Rovato,44",,2784,21716,24500,45.5801255137,9.9987387916
5536,LO,98045,PIEVE FISSIRAGA,M.BUSINESS SRL,"V.Le Pavia, 1/3",C,0,6200,6200,45.2808204975,9.4631375948
5958,MI,15158,NOVIGLIO,KARTELL SPA,Via Delle Industrie 7,D,0,1800,1800,45.3405392074,9.0922161702
11785,VA,12042,CASTELLANZA,ESSELUNGA SPA,Viale Borri Angolo Viale Piemonte,,2974,1453,4427,45.602951315,8.8790077091
3220,MI,15105,GARBAGNATE MILANESE,BRICOCENTER ITALIA SRL,Via I Maggio/Via Xx Settembre,D,0,2517,2517,45.562112396,9.0823335959
3461,MI,15074,CESANO BOSCONE,FRATELLI PIAZZA SRL,"Via Croce, 7",A,0,3050,3050,45.4349995938,9.0876781662
10886,BG,16190,SAN PELLEGRINO TERME,SVILUPPO SAN PELLEGRINO SRL,Via F.Lli Calvi,,2500,4530,7030,45.8422904166,9.6658838343
1815,BG,16155,PALADINA,L'ARTIGIANA DEL MOBILE SRL,"Via Roma, 43",C,0,2300,2300,45.7334711563,9.6096197885
4171,VA,12053,COCQUIO-TREVISAGO,CENTRO COMMERCIALE COCQUIO,"C.Da Tagliabo', 4",,1870,6333,8203,45.8599123493,8.6886133318
11392,MI,15146,MILANO,COOP LOMBARDIA COOP A.R.L,"Via Gozzoli Benozzo, 130",,2700,3300,6000,45.4554538296,9.0908662473
234,MI,15062,CASTANO PRIMO,RIALTO SRL,Via Adua Ang. S.P.34,,2900,5970,8870,45.5441122428,8.7800650689
5559,MB,108012,BRUGHERIO,BENNET SPA,"V.Le Lombardia, 264",,3851,10765,14616,45.5563757801,9.3021346586
4548,VA,12072,GAVIRATE,ORA INIZIATIVA GAVIRATESE EX IL MATTONE,Viale Ticino   N.82,,1655,8345,10000,45.8386629617,8.7043174391
5292,LC,97016,CASATENOVO,ESSELUNGA SPA,Cascina Levada,,1792,2000,3792,45.6833392719,9.3175926013
9886,MI,15146,MILANO,ESSELUNGA SPA,Via Padova Angolo Via Olgettina,,2500,4500,7000,45.5115797087,9.2657444607
11153,LO,98029,GUARDAMIGLIO,DIFOOD S.R.L.,"Via Roma, 1/3",,2000,2687,4687,45.1153019553,9.6863128574
8851,MN,20002,ASOLA,ODOLINI ITALO,Viale Vittoria/Via Montello,,3200,2231,5431,45.2243388663,10.4135992053
8972,MI,15146,MILANO,DE GENNIS PAOLO,"Via R. Pitteri, 84",,2400,1400,3800,45.4780283388,9.2470599954
4293,CR,19055,MADIGNANO,MERCATONE DIECI SRL,"Via Oriolo, 37",C,0,8955,8955,45.3314262691,9.7379215954
965,VA,12070,GALLARATE,SSC.SRL,"Via Lario, 37",A,2815,1185,4000,45.6521302919,8.7846598846
1414,VA,12138,VERGIATE,EMMEZETA MODA S.R.L.,"Via Sempione, 63",A,0,3061,3061,45.7165213326,8.6907968377
5188,BS,17143,PISOGNE,ITALFRUTTA SPA,Area Ex Palini,,4000,8000,12000,45.8071091591,10.1078928817
4795,BS,17096,LUMEZZANE,ARCADIA SRL,"Via S. Nicola Da Tolentino, 25",,0,4464,4464,45.658287309,10.2407008856
13194,MI,15130,MAGENTA,OBI ITALIA SRL,Via Mainaga 31,D,0,6500,6500,45.4608122529,8.8700260653
